Group,N,TPR,TPR_CI_lower,TPR_CI_upper,FPR,FPR_CI_lower,FPR_CI_upper,PPV,PPV_CI_lower,PPV_CI_upper
White,1462,0.17048878027547767,0.12208556946929039,0.21875462278106508,0.011850050129074785,0.00697593669250646,0.018048385059947412,0.6602793956060242,0.5,0.775
Other,225,0.2575019381684548,0.07407407407407407,0.4451754385964914,0.011099625367681413,0.0,0.025654450261780107,0.7575018878180643,0.42785714285714294,1.0
,0,,,,,,,,,
Hispanic,623,0.40946924953768005,0.34317516722408026,0.47908244284910845,0.07178632383690908,0.052752293577981654,0.0954819749216301,0.7037735659420085,0.6185473289597001,0.7648542903399892
Black,300,0.29597377562972543,0.20728120516499282,0.3881683355375024,0.1027527291298162,0.06295045045045046,0.14163090128755365,0.48710582711317285,0.3254418604651163,0.6320056899004268
Asian,8,0.7597342472342471,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0
