model,auc_roc,accuracy,precision,recall,f1,brier_score,sensitivity,specificity
logistic_regression,0.8470540657379131,0.8488286969253295,0.6568627450980392,0.2809224318658281,0.3935389133627019,0.10781203223526402,0.2809224318658281,0.9689578713968958
elastic_net,0.8479939756515917,0.8510248901903368,0.675,0.2830188679245283,0.3988183161004431,0.10772356063029814,0.2830188679245283,0.9711751662971175
random_forest,0.8408354134999328,0.8477306002928258,0.6445497630331753,0.2851153039832285,0.3953488372093023,0.10891190008725835,0.2851153039832285,0.9667405764966741
xgboost,0.8403445406666759,0.8455344070278185,0.6180257510729614,0.3018867924528302,0.4056338028169014,0.10931458385622121,0.3018867924528302,0.9605321507760533
catboost,0.8455628535702167,0.8517569546120058,0.6621621621621622,0.3081761006289308,0.4206008583690987,0.10747752544696773,0.3081761006289308,0.9667405764966741
hist_gradient_boosting,0.838863090174641,0.845900439238653,0.6228070175438597,0.2976939203354298,0.40283687943262414,0.10939045653240186,0.2976939203354298,0.9618625277161863
