outcome,best_model,auc_roc,accuracy,f1,recall
reading,elastic_net,0.847712281582507,0.8499267935578331,0.4057971014492754,0.29350104821802936
math,logistic_regression,0.866717786352693,0.8466325036603221,0.4593548387096774,0.3662551440329218
