Group,N,ECE,MCE,Brier,ECE_ratio
White,1462,0.02194135364718587,0.11201243338616895,0.08186210469946814,1.0
Other,225,0.050599100257098004,0.9399548416480901,0.0895219163461676,2.3061065908113507
Hispanic,623,0.0361468024739711,0.11537844701642908,0.15461373337565565,1.6474280965161496
Black,300,0.073525137316329,0.4558051395960082,0.16150656425016047,3.350984560870933
