percentile,prevalence,best_model,auc_roc,accuracy,f1,recall,precision
10,6.3%,catboost,0.8925058970477084,0.9439970717423133,0.27488151658767773,0.1695906432748538,0.725
20,12.6%,catboost,0.8639038325555084,0.8777452415812591,0.3927272727272727,0.288,0.6171428571428571
25,15.7%,elastic_net,0.8479939756515917,0.8510248901903368,0.3988183161004431,0.2830188679245283,0.675
30,18.9%,catboost,0.8319277905339647,0.8125915080527086,0.46331236897274636,0.3720538720538721,0.6138888888888889
