scenario,scenario_label,model,n_features,auc_roc,accuracy,precision,recall,f1,brier_score,sensitivity,specificity
k_only,K Fall Only,logistic_regression,7,0.7989570890194706,0.8372271160474913,0.6032608695652174,0.23974082073434125,0.34312210200927357,0.11941841868296586,0.23974082073434125,0.9660148975791434
k_only,K Fall Only,elastic_net,7,0.7977353990451713,0.8341631558789736,0.5925925925925926,0.20734341252699784,0.3072,0.11964867316520329,0.20734341252699784,0.9692737430167597
k_only,K Fall Only,random_forest,7,0.7985121525473492,0.8360781309842972,0.6548672566371682,0.15982721382289417,0.2569444444444444,0.11892040338594627,0.15982721382289417,0.9818435754189944
k_only,K Fall Only,xgboost,7,0.7960411211795795,0.8284182305630027,0.5443786982248521,0.19870410367170627,0.2911392405063291,0.12010221183300018,0.19870410367170627,0.9641527001862198
k_only,K Fall Only,lightgbm,7,0.7954458615377809,0.8288012255840674,0.5470588235294118,0.20086393088552915,0.2938388625592417,0.11985471898049092,0.20086393088552915,0.9641527001862198
k_only,K Fall Only,catboost,7,0.7978575680426013,0.8299502106472616,0.5549132947976878,0.20734341252699784,0.3018867924528302,0.11881675591460214,0.20734341252699784,0.9641527001862198
k_only,K Fall Only,hist_gradient_boosting,7,0.7913071982174388,0.8303332056683264,0.5684931506849316,0.17926565874730022,0.27257799671592775,0.1204310779010334,0.17926565874730022,0.9706703910614525
k_complete,K Fall + Spring,logistic_regression,10,0.821570922370903,0.8437380314055918,0.6470588235294118,0.2613390928725702,0.3723076923076923,0.11331250327017299,0.2613390928725702,0.9692737430167597
k_complete,K Fall + Spring,elastic_net,10,0.8212602209700319,0.8464189965530448,0.6962025316455697,0.23758099352051837,0.35426731078904994,0.11352451457785884,0.23758099352051837,0.9776536312849162
k_complete,K Fall + Spring,random_forest,10,0.821076716097349,0.8410570662581387,0.6411764705882353,0.23542116630669546,0.344391785150079,0.11383862176357912,0.23542116630669546,0.9716014897579144
k_complete,K Fall + Spring,xgboost,10,0.815807863862511,0.8414400612792033,0.6814814814814815,0.19870410367170627,0.3076923076923077,0.1158730611205101,0.19870410367170627,0.9799813780260708
k_complete,K Fall + Spring,lightgbm,10,0.82041257928416,0.8387590961317503,0.6039603960396039,0.2634989200863931,0.3669172932330827,0.11448215864151791,0.2634989200863931,0.962756052141527
k_complete,K Fall + Spring,catboost,10,0.8202899075336542,0.8402910762160092,0.6064814814814815,0.28293736501079914,0.3858615611192931,0.11440404595902086,0.28293736501079914,0.9604283054003724
k_complete,K Fall + Spring,hist_gradient_boosting,10,0.8202863882621234,0.8402910762160092,0.625,0.24838012958963282,0.3554868624420402,0.11420383165583585,0.24838012958963282,0.9678770949720671
k_through_1st,K + 1st Grade,logistic_regression,11,0.8285400855082431,0.844887016468786,0.6407766990291263,0.28509719222462204,0.39461883408071746,0.11244417539882175,0.28509719222462204,0.9655493482309124
k_through_1st,K + 1st Grade,elastic_net,11,0.828425457806951,0.8437380314055918,0.6627218934911243,0.24190064794816415,0.35443037974683544,0.11237129698112674,0.24190064794816415,0.973463687150838
k_through_1st,K + 1st Grade,random_forest,11,0.8260715679058523,0.8452700114898506,0.6705202312138728,0.2505399568034557,0.36477987421383645,0.11286474347222807,0.2505399568034557,0.973463687150838
k_through_1st,K + 1st Grade,xgboost,11,0.8220957965820836,0.8402910762160092,0.676923076923077,0.1900647948164147,0.29679595278246207,0.1147213876247406,0.1900647948164147,0.9804469273743017
k_through_1st,K + 1st Grade,lightgbm,11,0.8229720951932784,0.8395250861738798,0.6037735849056604,0.27645788336933047,0.37925925925925924,0.11417422121847083,0.27645788336933047,0.9608938547486033
k_through_1st,K + 1st Grade,catboost,11,0.8250700837787726,0.8406740712370739,0.6063348416289592,0.2894168466522678,0.391812865497076,0.11339891094279185,0.2894168466522678,0.9594972067039106
k_through_1st,K + 1st Grade,hist_gradient_boosting,11,0.8210334793328266,0.8425890463423975,0.6494252873563219,0.24406047516198703,0.35478806907378335,0.11422419104886915,0.24406047516198703,0.9716014897579144
k_through_3rd,K through 3rd,logistic_regression,12,0.8308668267432461,0.8429720413634623,0.6292682926829268,0.2786177105831533,0.38622754491017963,0.1120507839101841,0.2786177105831533,0.9646182495344506
k_through_3rd,K through 3rd,elastic_net,12,0.8295777678567838,0.8445040214477212,0.6686390532544378,0.24406047516198703,0.3575949367088608,0.11218056067851054,0.24406047516198703,0.9739292364990689
k_through_3rd,K through 3rd,random_forest,12,0.8266929707075947,0.8429720413634623,0.6568047337278107,0.23974082073434125,0.3512658227848101,0.11269719535357711,0.23974082073434125,0.972998137802607
k_through_3rd,K through 3rd,xgboost,12,0.8224185640567749,0.8402910762160092,0.6742424242424242,0.19222462203023757,0.2991596638655462,0.11466743052005768,0.19222462203023757,0.9799813780260708
k_through_3rd,K through 3rd,lightgbm,12,0.8237156669924506,0.839142091152815,0.6,0.2786177105831533,0.3805309734513274,0.1138410391898006,0.2786177105831533,0.9599627560521415
k_through_3rd,K through 3rd,catboost,12,0.8286577297279905,0.8437380314055918,0.6267281105990783,0.2937365010799136,0.4,0.11210104515817547,0.2937365010799136,0.9622905027932961
k_through_3rd,K through 3rd,hist_gradient_boosting,12,0.8243963946571425,0.8425890463423975,0.6397849462365591,0.2570194384449244,0.3667180277349769,0.11366547260347729,0.2570194384449244,0.9688081936685289
