feature,mean_abs_shap,std_shap
X2MTHETK,0.4017782783215947,0.4997575668893286
X1SESQ5,0.26559420100495124,0.3084319340077349
X2RTHETK,0.25272501103954165,0.3449192588430054
X1MTHETK,0.2276519593717969,0.28898002665773287
X4TCHAPP,0.22385868668297204,0.26493802011655593
X6DCCSSCR,0.07687751112661068,0.11147977409460752
X1RTHETK,0.030594384294360056,0.03804047102242528
X_CHSEX_R,0.003308575855469194,0.003307723758505914
X2TCHAPP,0.0,0.0
X1TCHAPP,0.0,0.0
X_RACETH_R,0.0,0.0
X12LANGST,0.0,0.0
