feature,mean_abs_shap,mean_shap,std_shap
X2MTHETK,0.359676441028698,0.005828991275591215,0.452884952292361
X1SESQ5,0.2472525668668528,-0.10212728751253518,0.2717318898920085
X4TCHAPP,0.22158842598636874,-0.007069581039061457,0.26055678254309533
X2RTHETK,0.21511879155577504,0.0004968735521225661,0.2918842008250381
X1MTHETK,0.2017522504877754,-0.01806801866619314,0.2579222178562304
X6DCCSSCR,0.06994494789884734,-0.0028593952140145034,0.09874001588675006
X1RTHETK,0.027195749112328086,0.0003642760826856063,0.034805004035026
X_CHSEX_R,0.0033085758554692543,0.00010862629347641678,0.0033067921797051716
X2TCHAPP,0.0,0.0,0.0
X1TCHAPP,0.0,0.0,0.0
X_RACETH_R,0.0,0.0,0.0
X12LANGST,0.0,0.0,0.0
