scenario,scenario_label,n_features,best_model,auc_roc,accuracy,f1,precision,recall,brier_score
k_only,K Fall Only,7,logistic_regression,0.7989570890194706,0.8372271160474913,0.34312210200927357,0.6032608695652174,0.23974082073434125,0.11941841868296586
k_complete,K Fall + Spring,10,logistic_regression,0.821570922370903,0.8437380314055918,0.3723076923076923,0.6470588235294118,0.2613390928725702,0.11331250327017299
k_through_1st,K + 1st Grade,11,logistic_regression,0.8285400855082431,0.844887016468786,0.39461883408071746,0.6407766990291263,0.28509719222462204,0.11244417539882175
k_through_3rd,K through 3rd,12,logistic_regression,0.8308668267432461,0.8429720413634623,0.38622754491017963,0.6292682926829268,0.2786177105831533,0.1120507839101841
